#    2*theta     Intensity  
   5.0000000       0.0488060   
   5.0045000       0.0346912   
   5.0090000       0.0244595   
   5.0135000       0.0171063   
   5.0180000       0.0118672   
   5.0225000       0.0081663   
   5.0270000       0.0055742   
   5.0315000       0.0037742   
   5.0360000       0.0025348   
   5.0405000       0.0016887   
   5.0450000       0.0011159   
   5.0495000       0.0007315   
   5.0540000       0.0004756   
   5.0585000       0.0003067   
   5.0630000       0.0001962   
   5.0675000       0.0001245   
   5.0720000       0.0000784   
   5.0765000       0.0000489   
   5.0810000       0.0000303   
   5.0855000       0.0000186   
   5.0900000       0.0000114   
   5.0945000       0.0000069   
   5.0990000       0.0000041   
   5.1035000       0.0000024   
   5.1080000       0.0000014   
   5.1125000       0.0000008   
   5.1170000       0.0000005   
   5.1215000       0.0000003   
   5.1260000       0.0000002   
   5.1305000       0.0000001   
   5.1350000       0.0000001   
   5.1395000       0.0000000   
   5.1440000       0.0000000   
   5.1485000       0.0000000   
   5.1530000       0.0000000   
   5.1575000       0.0000000   
   5.1620000       0.0000000   
   5.1665000       0.0000000   
   5.1710000       0.0000000   
   5.1755000       0.0000000   
   5.1800000       0.0000000   
   5.1845000       0.0000000   
   5.1890000       0.0000000   
   5.1935000       0.0000000   
   5.1980000       0.0000000   
   5.2025000       0.0000000   
   5.2070000       0.0000000   
   5.2115000       0.0000000   
   5.2160000       0.0000000   
   5.2205000       0.0000000   
   5.2250000       0.0000000   
   5.2295000       0.0000000   
   5.2340000       0.0000000   
   5.2385000       0.0000000   
   5.2430000       0.0000000   
   5.2475000       0.0000000   
   5.2520000       0.0000000   
   5.2565000       0.0000000   
   5.2610000       0.0000000   
   5.2655000       0.0000000   
   5.2700000       0.0000000   
   5.2745000       0.0000000   
   5.2790000       0.0000000   
   5.2835000       0.0000000   
   5.2880000       0.0000000   
   5.2925000       0.0000000   
   5.2970000       0.0000000   
   5.3015000       0.0000000   
   5.3060000       0.0000000   
   5.3105000       0.0000000   
   5.3150000       0.0000000   
   5.3195000       0.0000000   
   5.3240000       0.0000000   
   5.3285000       0.0000000   
   5.3330000       0.0000000   
   5.3375000       0.0000000   
